#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.
623,Disciples,Tame Impala,2015-07-17,127,87,66,-5,80,1:49,8,64
624,Cause I'm A Man,Tame Impala,2015-07-17,145,70,55,-5,64,4:02,11,67
625,Reality In Motion,Tame Impala,2015-07-17,115,92,54,-5,47,4:12,15,61
626,Love/Paranoia,Tame Impala,2015-07-17,111,70,50,-6,35,3:06,1,63
627,"New Person, Same Old Mistakes",Tame Impala,2015-07-17,152,81,47,-7,49,6:03,27,69
628,Heart : Attack,Neon Indian,2011-09-13,89,46,20,-8,4,0:57,0,0
629,Polish Girl,Neon Indian,2011-09-13,112,88,63,-4,45,4:24,1,9
630,The Blindside Kiss,Neon Indian,2011-09-13,134,84,29,-5,4,3:34,10,0
631,Hex Girlfriend,Neon Indian,2011-09-13,120,95,36,-4,7,3:16,7,0
632,Heart : Decay,Neon Indian,2011-09-13,112,89,26,-5,39,1:45,84,0
633,Fallout,Neon Indian,2011-09-13,180,83,35,-5,61,3:32,29,0
634,Era Extraña,Neon Indian,2011-09-13,136,90,45,-5,24,2:57,0,0
635,Halogen (I Could Be a Shadow),Neon Indian,2011-09-13,123,78,36,-5,11,4:36,0,0
636,Future Sick,Neon Indian,2011-09-13,184,84,31,-5,38,4:47,4,0
637,Suns Irrupt,Neon Indian,2011-09-13,103,85,50,-7,50,5:29,0,0
638,Heart : Release,Neon Indian,2011-09-13,98,90,46,-10,3,2:06,0,0
639,Arcade Blues (Single),Neon Indian,2011-09-13,114,93,60,-4,96,4:47,3,0
640,Double Knuckle Shuffle,Kíla,1997-01-01,105,59,63,-10,83,3:42,26,11
641,This Is The Song [Good Luck],Punch Brothers,2010-06-11,79,14,54,-20,38,3:53,79,31
642,Movement and Location,Punch Brothers,2012,147,75,52,-6,56,4:05,75,38
643,This Girl,Punch Brothers,2012,113,73,56,-7,55,3:39,68,41
644,Flippen [The Flip],Punch Brothers,2012,138,66,46,-8,61,4:25,74,33
645,Patchwork Girlfriend,Punch Brothers,2012,134,51,65,-7,80,3:48,69,33
646,Hundred Dollars,Punch Brothers,2012,146,61,68,-8,82,4:47,73,32
647,Soon or Never,Punch Brothers,2012,116,28,55,-9,19,4:45,79,36
648,New York City,Punch Brothers,2012,161,70,32,-6,44,3:47,71,33
649,Kid A,Punch Brothers,2012,105,43,65,-11,58,4:53,81,37
650,Don't Get Married Without Me,Punch Brothers,2012,177,42,45,-7,66,4:12,73,35
651,Narcissus Is Back,Christine and the Queens,2013-01-28,115,73,77,-9,69,4:33,51,15
652,My Only Swerving,El Ten Eleven,2005,172,63,38,-12,14,5:15,13,7
653,Sorry About Your Irony,El Ten Eleven,2005,122,56,71,-11,70,3:18,0,0
654,Lorge,El Ten Eleven,2005,146,51,35,-10,35,3:57,74,0
655,1969,El Ten Eleven,2005,66,38,31,-15,21,0:47,16,0
656,Central Nervous Piston,El Ten Eleven,2005,143,55,58,-13,24,4:50,41,0
657,Thinking Loudly,El Ten Eleven,2005,99,49,37,-13,7,4:24,16,0
658,Fanshawe,El Ten Eleven,2005,91,61,65,-9,65,5:12,2,0
659,Connie,El Ten Eleven,2005,150,66,52,-12,51,6:25,64,0
660,Bye Mom,El Ten Eleven,2005,110,32,80,-19,65,1:29,79,0
661,The Dress Looks Nice on You,Sufjan Stevens,2004-03-16,128,27,70,-16,78,2:32,95,51
662,It's Been A Year,Greg Laswell,2008-01-01,120,39,55,-10,45,3:13,46,28
663,That It Moves,Greg Laswell,2008-01-01,154,66,43,-7,55,3:55,19,26
664,The One I Love,Greg Laswell,2008-01-01,140,60,57,-9,29,2:36,36,33
665,Comes And Goes (In Waves),Greg Laswell,2008-01-01,120,70,56,-9,16,4:14,54,60
666,How The Day Sounds,Greg Laswell,2008-01-01,120,79,45,-7,28,4:49,21,31
667,Sweet Dream,Greg Laswell,2008-01-01,94,23,41,-15,19,1:08,80,34
668,Days Go On,Greg Laswell,2008-01-01,150,80,46,-8,43,3:15,49,32
669,I'd Be Lying,Greg Laswell,2008-01-01,160,50,42,-7,34,4:46,30,32
670,Farewell,Greg Laswell,2008-01-01,145,61,45,-5,19,3:57,14,26
671,Not Out,Greg Laswell,2008-01-01,145,32,52,-8,33,3:32,74,25
672,And Then You,Greg Laswell,2008-01-01,78,34,63,-13,55,3:30,82,43
673,That It Moves (GarageBand Demo),Greg Laswell,2008-01-01,78,43,59,-12,77,3:19,77,21
674,Familiarity,Punch Brothers,2015-01-23,139,34,43,-11,22,10:23,80,43
675,Julep,Punch Brothers,2015-01-23,106,22,68,-14,31,5:26,90,53
676,Passepied (Debussy),Punch Brothers,2015-01-23,92,30,64,-16,68,3:30,95,49
677,I Blew It Off,Punch Brothers,2015-01-23,121,54,83,-9,70,3:07,60,44
678,Magnet,Punch Brothers,2015-01-23,146,71,69,-7,83,3:14,17,40
679,My Oh My,Punch Brothers,2015-01-23,160,26,51,-10,23,4:19,69,48
680,Boll Weevil,Punch Brothers,2015-01-23,109,56,64,-9,64,2:36,62,39
681,Prélude (Scriabin),Punch Brothers,2015-01-23,139,9,54,-25,42,0:58,97,50
682,Forgotten,Punch Brothers,2015-01-23,140,32,50,-14,19,4:17,75,37
683,Between 1st and A,Punch Brothers,2015-01-23,113,37,55,-12,19,4:15,88,36
684,Little Lights,Punch Brothers,2015-01-23,199,29,26,-11,43,4:42,79,36
685,The Ballad Of Mona Lisa,Panic! At The Disco,2011-03-18,124,89,44,-4,8,3:47,0,72
686,Hallelujah,Panic! At The Disco,2015-04-20,160,89,52,-4,61,3:00,0,45
687,Clara,Punch Brothers,2012,120,50,69,-7,61,3:21,84,34
688,No Concern of Yours,Punch Brothers,2012,124,51,34,-8,25,4:08,67,34
689,Who's Feeling Young Now?,Punch Brothers,2012,76,66,57,-5,78,4:09,61,35
690,As Tall As Cliffs,Margot & The Nuclear So And So's,2008-12-16,89,77,54,-7,75,4:02,43,19
691,The Ocean (Is Bleeding Salt),Margot & The Nuclear So And So's,2008-10-07,77,69,44,-6,19,3:25,1,25
692,A Sea Chanty Of Sorts,Margot & The Nuclear So And So's,2005,73,42,50,-9,19,4:27,81,0
693,Skeleton Key,Margot & The Nuclear So And So's,2005,158,84,47,-6,58,3:26,3,0
694,Vampires In Blue Dresses,Margot & The Nuclear So And So's,2005,131,65,55,-4,49,3:20,33,0
695,Quiet As A Mouse,Margot & The Nuclear So And So's,2005,113,82,47,-6,39,4:37,0,0
696,Jen Is Bringin The Drugs,Margot & The Nuclear So And So's,2005,142,23,45,-12,46,2:50,78,0
697,Dress Me Like A Clown,Margot & The Nuclear So And So's,2005,98,46,41,-9,43,4:37,58,0
698,On A Freezing Chicago Street,Margot & The Nuclear So And So's,2005,109,66,57,-7,58,3:02,10,0
699,Paper Kitten Nightmare,Margot & The Nuclear So And So's,2005,92,65,60,-7,41,3:33,50,0
700,"Barfight Revolution, Power Violence",Margot & The Nuclear So And So's,2005,120,66,58,-6,40,3:30,6,0
701,A Light On A Hill,Margot & The Nuclear So And So's,2005,123,17,49,-13,19,3:59,89,0
702,Talking In Code,Margot & The Nuclear So And So's,2005,128,58,48,-6,21,3:44,36,0
703,Bookworm,Margot & The Nuclear So And So's,2005,120,59,60,-9,30,3:05,15,0
704,Fiery Crash,Andrew Bird,2007-03-20,136,91,60,-8,41,4:12,27,0
705,Imitosis,Andrew Bird,2007-03-20,114,61,85,-9,95,4:01,59,0
706,Plasticities,Andrew Bird,2007-03-20,147,50,61,-11,73,4:28,47,0
707,Heretics,Andrew Bird,2007-03-20,131,74,42,-8,49,3:34,11,0
708,Armchairs,Andrew Bird,2007-03-20,128,46,30,-10,18,7:03,24,0
709,Dark Matter,Andrew Bird,2007-03-20,132,77,39,-9,12,5:08,18,0
710,Simple X,Andrew Bird,2007-03-20,109,72,60,-9,44,3:37,29,0
711,The Supine,Andrew Bird,2007-03-20,79,33,31,-17,38,0:59,95,0
712,Cataracts,Andrew Bird,2007-03-20,128,18,34,-13,13,3:12,82,0
713,Scythian Empires,Andrew Bird,2007-03-20,113,56,62,-11,49,4:35,82,0
714,Spare-ohs,Andrew Bird,2007-03-20,102,35,38,-10,23,4:07,11,0
715,Yawny at the Apocalypse,Andrew Bird,2007-03-20,168,41,17,-11,7,3:39,4,0
716,/=/,Andrew Bird,2005-02-08,181,42,7,-13,16,1:06,64,0
717,Sovay,Andrew Bird,2005-02-08,108,37,47,-14,20,4:41,81,1
718,A Nervous Tic Motion of the Head to the Left,Andrew Bird,2005-02-08,133,46,51,-10,26,5:00,90,0
719,Fake Palindromes,Andrew Bird,2005-02-08,144,64,46,-6,32,2:53,31,0
720,Measuring Cups,Andrew Bird,2005-02-08,94,40,56,-12,38,2:52,78,0
721,Banking on a Myth,Andrew Bird,2005-02-08,128,47,63,-9,30,4:28,31,0
722,Masterfade,Andrew Bird,2005-02-08,104,33,58,-13,49,4:11,90,0
723,Opposite Day,Andrew Bird,2005-02-08,96,32,55,-10,15,4:32,71,0
724,"Skin Is, My",Andrew Bird,2005-02-08,158,67,60,-8,60,3:37,73,0
725,The Naming of Things,Andrew Bird,2005-02-08,103,56,35,-8,25,4:58,71,0
726,MX Missiles,Andrew Bird,2005-02-08,110,22,50,-16,17,4:22,92,0
727,/=/=/,Andrew Bird,2005-02-08,172,13,24,-17,11,1:09,82,0
728,Tables and Chairs,Andrew Bird,2005-02-08,140,52,53,-9,29,4:44,66,0
729,The Happy Birthday Song,Andrew Bird,2005-02-08,80,13,47,-12,25,5:03,88,0
730,Halloween,Matt Pond PA,2005,132,91,60,-5,49,5:03,1,25
731,So Much Trouble,Matt Pond PA,2005,155,90,50,-4,55,3:58,3,23
732,The Trees And The Wild,Matt Pond PA,2005,92,64,90,-5,81,2:48,8,15
733,Several Arrows Later,Matt Pond PA,2005,160,98,48,-4,83,3:34,1,17
734,Is It Safe,Matt Pond PA,2005,134,84,62,-6,33,4:58,1,14
735,Emblems,Matt Pond PA,2005,163,93,44,-4,34,3:29,0,14
736,City Song,Matt Pond PA,2005,127,74,59,-5,39,4:12,4,13
737,From Debris,Matt Pond PA,2005,165,95,51,-4,70,4:31,1,14
738,Brooklyn Stars,Matt Pond PA,2005,127,73,73,-4,43,3:49,25,17
739,The Moviegoer,Matt Pond PA,2005,107,93,68,-2,76,3:12,23,12
740,Spring Provides,Matt Pond PA,2005,150,97,58,-3,78,3:22,2,11
741,Devil In The Water,Matt Pond PA,2005,130,63,71,-5,60,5:28,30,14
742,Great Vacation,Dirt Poor Robins,2007-03-12,161,69,36,-6,52,4:25,49,39
743,Eleanor Rigby,Dirt Poor Robins,2007-03-12,168,88,43,-5,44,4:23,3,27
744,Shape,Glasser,2013-10-07,132,61,48,-8,8,4:57,25,34
745,Design,Glasser,2013-10-07,120,65,67,-8,55,3:15,42,22
746,Landscape,Glasser,2013-10-07,120,45,70,-11,50,3:59,68,20
747,Forge,Glasser,2013-10-07,140,54,57,-8,32,4:32,0,24
748,Window I,Glasser,2013-10-07,156,42,73,-13,20,1:27,38,15
749,Keam Theme,Glasser,2013-10-07,120,67,67,-7,32,4:11,8,20
750,Exposure,Glasser,2013-10-07,131,70,63,-7,41,3:41,24,16
751,Dissect,Glasser,2013-10-07,110,59,65,-10,16,4:14,38,22
752,Window III,Glasser,2013-10-07,133,39,63,-10,14,1:58,79,14
753,Window II,Glasser,2013-10-07,110,10,57,-20,16,1:14,79,14
754,New Year,Glasser,2013-10-07,134,52,69,-8,48,3:29,45,16
755,Divide,Glasser,2013-10-07,106,52,30,-9,24,5:31,4,16
756,Taro,alt-J,2012-09-18,172,48,36,-11,28,5:06,78,60
